complaint_id,date_filed,category,narrative,state,channel,status,resolution_days
C000001,2025-08-17,Customer Service,Complaint ticket closed without resolution. I was treated rudely by the branch staff when I visited to resolve my account issue.,Madhya Pradesh,Mobile App,Resolved,16
C000002,2025-08-12,Digital Banking / UPI,UPI transaction failed but amount debited. My UPI transaction of Rs 10000 failed on the app but the amount was debited from my account and not reversed.,Bihar,Mobile App,Resolved,14
C000003,2025-10-12,Digital Banking / UPI,Mobile banking app not reflecting correct balance. A fund transfer of Rs 3000 initiated three days ago is still showing as pending status.,Uttar Pradesh,Branch,Escalated,
C000004,2025-08-09,Customer Service,Complaint ticket closed without resolution. I was treated rudely by the branch staff when I visited to resolve my account issue.,Maharashtra,Call Centre,Closed - No Action,7
C000005,2025-05-08,Charges / Fees,Unexplained deduction of maintenance charges. My account statement shows multiple charges of Rs 7500 that were never explained to me.,Gujarat,Mobile App,Closed - No Action,11
C000006,2025-03-13,Digital Banking / UPI,UPI autopay deducted incorrect amount. The mobile banking app is showing an incorrect balance that does not match my passbook entries.,Maharashtra,Branch,Resolved,9
C000007,2026-01-09,Charges / Fees,Minimum balance penalty despite maintaining balance. My account statement shows multiple charges of Rs 1200 that were never explained to me.,West Bengal,Branch,Resolved,13
C000008,2025-09-08,Customer Service,Unable to reach relationship manager. I was treated rudely by the branch staff when I visited to resolve my account issue.,Telangana,Website,Resolved,1
C000009,2025-11-20,ATM / Card Issues,"Card blocked without any prior notice. I attempted to withdraw Rs 7500 from an ATM but cash was not dispensed, yet my account was debited.",Maharashtra,Branch,Resolved,21
C000010,2026-04-15,Digital Banking / UPI,Fund transfer stuck in pending status. A fund transfer of Rs 7500 initiated three days ago is still showing as pending status.,Madhya Pradesh,Call Centre,Resolved,15
C000011,2026-01-06,Customer Service,Unable to reach relationship manager. It has been over 20 days since I raised this grievance and there has been no update on the resolution.,Delhi,Website,Resolved,16
C000012,2025-06-13,Account Opening / KYC,Account not activated despite KYC completion. The branch keeps asking for documents that I have already submitted twice for KYC verification.,Gujarat,Website,Escalated,
C000013,2026-06-26,Fraud / Unauthorized Transactions,Phishing call led to unauthorized transfer. My account was compromised and Rs 10000 was withdrawn through an ATM I never visited.,Telangana,Mobile App,Resolved,1
C000014,2025-10-28,Customer Service,Complaint ticket closed without resolution. I have called customer care multiple times over the past week regarding my issue but have received no response.,Rajasthan,Mobile App,Resolved,4
C000015,2025-11-02,Customer Service,Unable to reach relationship manager. I have called customer care multiple times over the past week regarding my issue but have received no response.,Madhya Pradesh,Website,Escalated,
C000016,2026-06-28,ATM / Card Issues,Card blocked without any prior notice. My card transaction was declined at a merchant outlet even though I had sufficient balance in my account.,Maharashtra,Call Centre,Closed - No Action,3
C000017,2025-03-22,Charges / Fees,Unexplained deduction of maintenance charges. SMS alert charges of Rs 4999 were deducted even though I have not used the SMS alert facility.,Rajasthan,Mobile App,Resolved,4
C000018,2025-06-19,Charges / Fees,SMS alert charges billed incorrectly. My account statement shows multiple charges of Rs 25000 that were never explained to me.,Karnataka,Website,Resolved,13
C000019,2026-03-25,Charges / Fees,Hidden charges on account statement. I was charged a minimum balance penalty despite maintaining the required average monthly balance.,Rajasthan,Mobile App,Escalated,
C000020,2025-08-24,ATM / Card Issues,"Duplicate card charges applied. I attempted to withdraw Rs 3000 from an ATM but cash was not dispensed, yet my account was debited.",Uttar Pradesh,Mobile App,Resolved,4
C000021,2025-12-05,Customer Service,No response from customer care for over a week. I have called customer care multiple times over the past week regarding my issue but have received no response.,Karnataka,Website,Resolved,9
C000022,2026-02-21,ATM / Card Issues,Card blocked without any prior notice. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Maharashtra,Email,Resolved,17
C000023,2025-04-11,Loan / Credit,Delay in loan disbursement. The interest charged on my loan account does not match the amortization schedule shared at the time of sanction.,Maharashtra,Branch,Resolved,7
C000024,2025-07-07,ATM / Card Issues,Card blocked without any prior notice. The ATM machine retained my card and I have not received it back after multiple visits to the branch.,Karnataka,Mobile App,Resolved,1
